#Users     NewKeyPair_ns  RegisterUser_ns
4         1008926        5894125        
9         1512400        6465076        
16        1841996        8932841        
25        2527242        12314755       
36        3285845        15036803       
49        3734664        19255922       
64        4268192        20155805       
81        4697643        24358311       
100       5106700        28595328       
121       5747142        31049859       
144       6212070        35912082       
169       6329685        38523634       
196       6932216        38564046       
225       7459367        41653164       
256       7031738        47927910       
289       8848975        47686798       
324       9332918        54166260       
361       9462603        52293250       
400       10495431       60283443       
441       9572846        57263864       
484       11547406       63193555       
529       11772232       62485950       
576       10864505       74516162       
625       12905891       77713136       
676       11990524       78602519       
729       14090278       79305164       
784       13747827       84236479       
841       14918256       80731408       
900       13738741       83156099       
961       15800065       94987030       
1024      16635431       96540676       
1089      17199883       106045629      
1156      17235245       102411521      
1225      16377688       104804169      
1296      18602417       107971194      
1369      17174644       113478121      
1444      17391442       115606303      
1521      20565487       112640844      
1600      18641844       122965097      
1681      21316017       127359351      
1764      18436809       133322769      
1849      22221672       137229682      
1936      22610217       134228430      
2025      23398190       126210916      
2116      21280648       139714876      
2209      24435745       150214627      
2304      24960348       151396428      
2401      25048054       151342564      
2500      24459207       156673011      
2601      24031657       159973616      
2704      26917049       162888009      
2809      24113181       163156183      
2916      23829951       168488971      
3025      28352644       160409871      
3136      29242903       159786537      
3249      26393373       160696371      
3364      30291328       180080918      
3481      31223744       184264234      
3600      31568288       169306226      
3721      32406581       185606070      
3844      28250553       191762236      
3969      29527245       195121196      
4096      32443692       191072707      
4225      33409087       202162969      
4356      29715583       186026017      
4489      34564563       208252498      
4624      35197054       212114218      
4761      35867026       205895866      
4900      36529313       213634930      
5041      37301281       199668582      
5184      37363403       221858771      
5329      37670286       232806512      
5476      34869035       228399569      
5625      39118863       226982075      
5776      38119814       229309334      
5929      40452788       238238375      
6084      36949470       250402571      
6241      45436689       244065688      
6400      40684096       233735785      
6561      36273160       253442893      
6724      39401725       258220254      
6889      40992595       259279547      
7056      45336720       251582140      
7225      41059775       255508214      
7396      44711708       269708759      
7569      44845080       277819230      
7744      46788451       272945226      
7921      46535085       284839857      
8100      41404700       276104090      
8281      48029540       283763924      
8464      49150222       292602334      
8649      48770622       289009723      
8836      42235509       294654123      
9025      51095467       298082296      
9216      44853970       296455553      
9409      45447482       301086586      
9604      44815723       285663220      
9801      51772629       307036937      
10000     51645167       298907345      
10201     50801193       312386577      
10404     47894339       316244314      
10609     54575711       333335107      
10816     51732541       335639789      
11025     49439264       341155551      
11236     54330164       341819430      
11449     48416858       348729549      
11664     56063216       351936104      
11881     48833898       352967752      
12100     57335123       350838378      
12321     56770984       352034773      
12544     60281556       362620457      
12769     53872040       364379394      
12996     60392226       365894336      
13225     60685257       370218564      
13456     60236930       365930411      
13689     53905358       389821834      
13924     61165875       378794922      
14161     58880509       386400217      
14400     54927645       383651933      
